gene_id,mean_cpm_ground,mean_cpm_flight,n_ground,n_flight,log2fc_flight_vs_ground
AT1G76930,59.47974350445064,121.66543784269058,18,18,1.0202048869739033
AT1G05250,21.911477992568503,45.41310167027816,18,18,1.0184615841837474
AT2G43590,8.962512748442743,19.17814908408397,18,18,1.0182122735857049
AT1G79900,4.144031958031196,9.399622088345419,18,18,1.0155595924985237
AT5G08920,0.6813177645187669,2.395229860897542,18,18,1.0139168340486382
AT5G26340,9.535987148481103,20.275635664262882,18,18,1.0138767458283229
AT1G03400,2.227259928292404,5.51461792094649,18,18,1.0133707886396144
AT5G02810,11.56168797054914,24.331886508340215,18,18,1.0119241823041998
AT5G52700,0.4622852444045206,1.946487708540526,18,18,1.010771486175015
AT5G62330,11.641143383694113,24.443849204547373,18,18,1.009189981084736
AT3G05880,404.2890902367273,814.5121922094272,18,18,1.0087551051632835
AT5G24470,3.7238661571762526,8.50468597803185,18,18,1.008670873998382
AT3G22800,5.122061878763278,11.313399616524245,18,18,1.0081395995695956
AT1G52660,0.832030196821034,2.674623957046763,18,18,1.0041533360301251
AT3G26740,3.4346624862161104,7.893952461837532,18,18,1.004000385596755
AT5G44910,2.457328958241984,5.931690774943402,18,18,1.003549417015878
AT5G45000,1.3635032666233018,3.7347984011808655,18,18,1.002376141095082
AT5G20230,1.81121485899184,4.628948552788078,18,18,1.0016717403807212
AT3G44300,224.33322072125384,448.64563701622023,18,18,0.9967284452805764
AT4G22070,2.921978315851443,6.811349479236946,18,18,0.9939902490756841
AT1G33840,1.0761409335492824,3.1347444855962157,18,18,0.9938937973605546
AT4G30110,2.1060341455543123,5.173871380168796,18,18,0.9911017379143546
AT1G76410,53.52662482068163,107.03728133902881,18,18,0.9864964802868661
AT5G64810,17.72919997233234,36.108368883424006,18,18,0.9864553126436103
AT3G53160,12.884818558971157,26.445160312835128,18,18,0.983043441674295
AT3G10020,98.99738515157085,196.57774959714294,18,18,0.9824582104022622
AT5G41290,32.15413207672406,64.42640817402538,18,18,0.9806843827768243
AT5G23660,41.15774921412186,82.17713769257722,18,18,0.9803891954407699
AT3G12500,17.15223096030951,34.74152373647729,18,18,0.9774542704186425
AT1G52343,4.43054266637431,9.6890150595413,18,18,0.9769606450895432
AT1G62760,0.8695034223550558,2.6754912657085597,18,18,0.9752819810494309
AT5G66400,0.15208552814262669,1.2594304866071275,18,18,0.9717113488217957
AT4G26010,16.625158348572043,33.5491810505965,18,18,0.9710152944771024
AT4G00680,6.099435356718153,12.91170580437628,18,18,0.9705231372743289
AT2G44110,5.242519569684252,11.22406511631764,18,18,0.9695237896123816
AT4G33070,8.305797358700772,17.198573060528265,18,18,0.9676236572910768
AT4G27852,2.4757519301163797,5.793267574444791,18,18,0.966780562025357
AT1G74880,0.6383371549782785,2.1992851348539286,18,18,0.9655172966010742
AT4G17500,13.446029880473262,27.19988793845574,18,18,0.9650163700157857
AT5G45480,1.2150997343585461,3.3220261488206204,18,18,0.9643361434598725
AT5G15120,11.84177227112474,24.040146590155747,18,18,0.9633986880415166
AT2G46680,12.369910080291284,25.05997225026391,18,18,0.96284578508797
AT3G52770,4.767718693678351,10.23756858794117,18,18,0.9622572136861501
AT1G51420,27.834691414764873,55.168216159538126,18,18,0.9619484023071455
AT5G25840,1.789531366044471,4.422988982704947,18,18,0.9590654659633451
AT5G01900,10.926521542993978,22.14145761149669,18,18,0.9563064065219766
AT2G05400,2.2979392148449858,5.388003482275168,18,18,0.9538002908600012
AT4G14390,4.42690570464433,9.50532917432082,18,18,0.9529196217501482
AT5G14360,25.63661460152202,50.54780407766904,18,18,0.9525002367267544
AT5G25190,1.2065877762665067,3.2700821869890695,18,18,0.952446700216408
AT1G15630,16.301579311349414,32.44652752182581,18,18,0.9509527004580138
AT5G42200,16.372105567339492,32.55361392283912,18,18,0.9496955366458073
AT4G35180,0.598571383593561,2.086426650702427,18,18,0.9491543373965554
AT2G39530,127.36778959355547,246.5528764924899,18,18,0.9474534703175856
AT4G13190,0.4522373563571844,1.7938208200178027,18,18,0.943962228005231
AT1G28230,0.5687208677966971,2.0158151896367924,18,18,0.9429593548917852
AT5G47740,5.365067756641488,11.228443069742582,18,18,0.9419929541267077
AT2G34390,1.8502158254056822,4.465377108456887,18,18,0.9392498767552462
AT3G05930,0.9257208088200248,2.690266562799974,18,18,0.9383264754341519
AT3G12540,1.729268889227626,4.229206202220299,18,18,0.938077424000093
AT2G46950,5.1028793006034725,10.692678661950865,18,18,0.9380435100610651
AT4G09770,3.3084558688837573,7.249732447667737,18,18,0.9371764245911984
AT5G54050,1.3585913483155494,3.5113686178928947,18,18,0.9356396939817889
AT1G61750,7.023814411435403,14.342852557083306,18,18,0.9352065926316743
AT3G49780,91.41203313289093,175.5798661648492,18,18,0.9341682298141032
AT4G09760,6.157193917356633,12.665521620757215,18,18,0.9330745556592591
AT1G72900,17.74618766685376,34.78205317789721,18,18,0.9326389411249102
AT4G18170,1.6128150795832275,3.9849295037022494,18,18,0.9319680799443154
AT4G28040,37.17559101464411,71.83403860436698,18,18,0.9319623517036363
AT1G16440,0.3815000944777422,1.6307597085088577,18,18,0.9292438190953335
AT1G09932,35.09376684095438,67.72597809890313,18,18,0.929105819564828
AT4G27850,0.8860974777449138,2.5892302590455065,18,18,0.9282702393458466
AT1G21680,34.48914175561907,66.46294577028492,18,18,0.926717629325503
AT4G15610,57.25383610708809,109.64344091362513,18,18,0.9254929670904741
AT4G16190,116.45390751723805,222.01395517863003,18,18,0.925039279660449
AT5G67430,2.9213784046150932,6.437591531225875,18,18,0.9234746524891085
AT1G22570,3.220410334923851,7.002799823557252,18,18,0.9231215494446985
AT4G11655,11.114377980044699,21.96385129315078,18,18,0.9226442876475278
AT3G46480,1.0800735705719111,2.941094287947502,18,18,0.9219617091052583
AT3G14060,3.3977174798495846,7.328851972232432,18,18,0.921362726976171
AT3G54580,88.72362575351647,168.50659985904042,18,18,0.9177816204324046
AT3G09925,24.6148180532112,47.38276594112051,18,18,0.9175146034218629
AT4G10270,3.1012766915290966,6.745177371949288,18,18,0.9172252005042111
AT3G45070,0.17610708319730375,1.2204608106432184,18,18,0.9168396872377181
AT1G14687,1.5424562949067748,3.7993586211760424,18,18,0.9166186449779944
AT4G40065,7.416203033329365,14.863452328306758,18,18,0.9144653618828659
AT4G10500,6.911808124439315,13.876732855525772,18,18,0.9109783809663613
AT1G26800,9.908234693727584,19.510734547890888,18,18,0.9109615140782404
AT5G55050,4.910181739561387,10.112657149571573,18,18,0.9109294216326045
AT1G18570,5.026163367183191,10.330129860482991,18,18,0.9108527071942062
AT2G44290,2.2191662935600815,5.050879622292551,18,18,0.9104577790974037
AT1G15640,18.727572062062865,35.94726682706325,18,18,0.9052542352893963
AT1G21326,0.5094007493488552,1.8254168388796062,18,18,0.9044878310972682
AT3G26580,5.829186504906918,11.782870806084578,18,18,0.904426236870437
AT1G27740,3.089330652705619,6.648921214798883,18,18,0.9033915677889454
AT2G33770,30.0051324056533,56.98186886918725,18,18,0.9030947845905889
AT2G20142,4.636359744301313,9.539040654900385,18,18,0.9029079470346429
