gene_or_label,day,value,condition
Glucoalyssin,232,-3.44346794,0d darkness
Glucohirsutin,232,-0.426001541,0d darkness
Glucoiberin,232,-1.507223476,0d darkness
Gluconic acid,232,-0.085249247,0d darkness
"Glutamic acid, N-acetyl-",232,-0.735003292,0d darkness
Glutathione,232,-1.375984194,0d darkness
Guanosine,232,-1.093366255,0d darkness
2-Isopropylmalic acid,232,-0.232851867,0d darkness
Histidine,232,-1.89200174,0d darkness
Iminodiacetic acid,232,-0.442563034,0d darkness
Leucine,232,-0.928757396,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,232,-2.991403815,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,232,-3.27887451,0d darkness
Lactobionic acid,232,0.146372984,0d darkness
Lactulose,232,-0.275464846,0d darkness
Isoleucine,232,-1.380679691,0d darkness
Loganin,232,-0.068243624,0d darkness
"3,4-Dihydroxybenzoic acid",232,-1.144453466,0d darkness
Malic acid,232,-0.640221891,0d darkness
Mimosine,232,0.008894226,0d darkness
"N,N-Dimethylglycine",232,-0.845009065,0d darkness
N-Acetyl-L-Tyrosine,232,-2.549209734,0d darkness
Naringin,232,-1.752918477,0d darkness
N-Ethylmaleamic acid,232,-0.066536185,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),232,-0.041871702,0d darkness
O-palmitoyl-L-Carnitine chloride,232,0.024802755,0d darkness
Pantothenic acid (Vitamine B5) ,232,-0.594137259,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,232,-0.797548981,0d darkness
3-Hydroxyphenylacetic acid,232,1.492017173,0d darkness
porphobilinogen,232,-0.304105046,0d darkness
Purine,232,-0.68370625,0d darkness
Pyroglutamic acid,232,-1.28761848,0d darkness
"Quercetin 3,7-dirhamnoside",232,-4.449406406,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,232,-3.992665269,0d darkness
Riboflavin ,232,-0.551943908,0d darkness
Rutin,232,-2.563745675,0d darkness
Saccharic acid,232,0.289173228,0d darkness
S-Adenosyl-L-Homocysteine,232,-0.849123892,0d darkness
Sedoheptulose,232,0.111378871,0d darkness
Serine,232,-1.069539522,0d darkness
Sinapoylglucose,232,-2.142323053,0d darkness
Succinoadenosine,232,-0.548483766,0d darkness
"Trehalose, alpha,beta-",232,0.076342144,0d darkness
Tyrosine,232,-0.906421701,0d darkness
Uric acid,232,-2.2385183,0d darkness
Uridine,232,-1.056904174,0d darkness
Uridine-5'-diphosphogalactose,232,-0.522063236,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,233,-0.669335135,0d darkness
Phe-Val,233,0.754263558,0d darkness
6-Hydroxymelatonin,233,-0.030446721,0d darkness
adenine,233,0.048543848,0d darkness
Adenosine,233,-1.047015664,0d darkness
Allantoic acid,233,0.104978847,0d darkness
alpha-D-Galacturonic acid 1-phosphate,233,-1.412256768,0d darkness
alpha-Ketoglutaric acid,233,-0.9117361,0d darkness
Argininosuccinic acid,233,-0.632150534,0d darkness
Aspartic acid,233,-0.379852173,0d darkness
beta-Nicotinamide adenine dinucleotide,233,-0.682395707,0d darkness
Cellobiitol,233,0.026800134,0d darkness
Citric acid,233,1.833015113,0d darkness
Flavin Mononucleotide,233,-0.118374142,0d darkness
Flavine adenine dinucleotide (FAD),233,-0.133919477,0d darkness
Formimino-L-Aspartic acid,233,0.46665622,0d darkness
Glucoalyssin,233,-3.378511886,0d darkness
Glucohirsutin,233,0.477466294,0d darkness
Glucoiberin,233,-1.471815475,0d darkness
Gluconic acid,233,-0.112136094,0d darkness
"Glutamic acid, N-acetyl-",233,-0.611411498,0d darkness
Glutathione,233,-1.326375033,0d darkness
Guanosine,233,-1.090384692,0d darkness
2-Isopropylmalic acid,233,-0.348345164,0d darkness
Histidine,233,-1.68485746,0d darkness
Iminodiacetic acid,233,0.069368422,0d darkness
Leucine,233,-0.944909343,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,233,-3.33149276,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,233,-4.728395952,0d darkness
Lactobionic acid,233,-0.04436248,0d darkness
Lactulose,233,-0.215121571,0d darkness
Isoleucine,233,-1.027537605,0d darkness
Loganin,233,0.55811244,0d darkness
"3,4-Dihydroxybenzoic acid",233,-1.210738378,0d darkness
Malic acid,233,-0.622263103,0d darkness
Mimosine,233,-0.008288829,0d darkness
"N,N-Dimethylglycine",233,-0.509336551,0d darkness
N-Acetyl-L-Tyrosine,233,-2.27543287,0d darkness
Naringin,233,-2.135367849,0d darkness
N-Ethylmaleamic acid,233,-0.083036093,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),233,-0.058741576,0d darkness
O-palmitoyl-L-Carnitine chloride,233,0.025818908,0d darkness
Pantothenic acid (Vitamine B5) ,233,-0.302836211,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,233,-0.426203478,0d darkness
3-Hydroxyphenylacetic acid,233,1.097545272,0d darkness
porphobilinogen,233,-0.411972819,0d darkness
Purine,233,-0.534792402,0d darkness
Pyroglutamic acid,233,-1.262170303,0d darkness
"Quercetin 3,7-dirhamnoside",233,-3.734120695,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,233,-5.853420383,0d darkness
Riboflavin ,233,-0.227814828,0d darkness
Rutin,233,-2.497301559,0d darkness
Saccharic acid,233,0.113345399,0d darkness
S-Adenosyl-L-Homocysteine,233,-0.855214324,0d darkness
Sedoheptulose,233,0.326278339,0d darkness
Serine,233,-1.110828042,0d darkness
Sinapoylglucose,233,-2.536210096,0d darkness
Succinoadenosine,233,-0.182208293,0d darkness
"Trehalose, alpha,beta-",233,0.069537922,0d darkness
Tyrosine,233,-0.65564927,0d darkness
Uric acid,233,-2.519230745,0d darkness
Uridine,233,-0.911969855,0d darkness
Uridine-5'-diphosphogalactose,233,-0.704297279,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,234,-0.409624647,0d darkness
Phe-Val,234,-0.325458097,0d darkness
6-Hydroxymelatonin,234,-0.038822138,0d darkness
adenine,234,0.098832604,0d darkness
Adenosine,234,-0.807265067,0d darkness
Allantoic acid,234,-0.139240269,0d darkness
alpha-D-Galacturonic acid 1-phosphate,234,-0.89481314,0d darkness
alpha-Ketoglutaric acid,234,-1.047764409,0d darkness
Argininosuccinic acid,234,-0.427627243,0d darkness
Aspartic acid,234,-0.539503305,0d darkness
beta-Nicotinamide adenine dinucleotide,234,-0.715140271,0d darkness
Cellobiitol,234,-0.041290917,0d darkness
Citric acid,234,1.456931377,0d darkness
Flavin Mononucleotide,234,-0.172636994,0d darkness
Flavine adenine dinucleotide (FAD),234,-0.619803185,0d darkness
Formimino-L-Aspartic acid,234,0.113970658,0d darkness
Glucoalyssin,234,-6.65358386,0d darkness
Glucohirsutin,234,-0.584020479,0d darkness
Glucoiberin,234,-1.451079769,0d darkness
Gluconic acid,234,-0.044700849,0d darkness
"Glutamic acid, N-acetyl-",234,-0.685047027,0d darkness
Glutathione,234,-1.176451323,0d darkness
Guanosine,234,-0.578458216,0d darkness
2-Isopropylmalic acid,234,-0.315185254,0d darkness
Histidine,234,-1.962121107,0d darkness
Iminodiacetic acid,234,-0.066323356,0d darkness
Leucine,234,-1.006646089,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,234,-3.117985327,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,234,-5.105060299,0d darkness
Lactobionic acid,234,-0.092354234,0d darkness
Lactulose,234,-0.330119576,0d darkness
Isoleucine,234,-1.137244413,0d darkness
Loganin,234,1.034305474,0d darkness
"3,4-Dihydroxybenzoic acid",234,-0.956404258,0d darkness
Malic acid,234,-0.686589911,0d darkness
Mimosine,234,0.025306325,0d darkness
"N,N-Dimethylglycine",234,-0.648617846,0d darkness
N-Acetyl-L-Tyrosine,234,-2.316764029,0d darkness
Naringin,234,-1.235871995,0d darkness
N-Ethylmaleamic acid,234,-0.104637467,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),234,-0.039528261,0d darkness
O-palmitoyl-L-Carnitine chloride,234,0.016609288,0d darkness
Pantothenic acid (Vitamine B5) ,234,-0.040967792,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,234,-0.90962919,0d darkness
3-Hydroxyphenylacetic acid,234,-0.520006084,0d darkness
porphobilinogen,234,-0.395247801,0d darkness
Purine,234,-0.726546177,0d darkness
Pyroglutamic acid,234,-1.191868048,0d darkness
"Quercetin 3,7-dirhamnoside",234,-4.174471614,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,234,-5.535794842,0d darkness
Riboflavin ,234,-0.347451367,0d darkness
Rutin,234,-2.519283973,0d darkness
Saccharic acid,234,0.228735995,0d darkness
S-Adenosyl-L-Homocysteine,234,-0.77367976,0d darkness
Sedoheptulose,234,0.039290733,0d darkness
Serine,234,-0.982930247,0d darkness
Sinapoylglucose,234,-1.663298028,0d darkness
Succinoadenosine,234,-0.150587533,0d darkness
"Trehalose, alpha,beta-",234,0.041264125,0d darkness
Tyrosine,234,-0.731726516,0d darkness
Uric acid,234,-5.573486525,0d darkness
Uridine,234,-0.940137995,0d darkness
Uridine-5'-diphosphogalactose,234,-0.745859172,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,235,-0.402134838,0d darkness
Phe-Val,235,0.127211073,0d darkness
6-Hydroxymelatonin,235,-0.035344845,0d darkness
adenine,235,0.261017235,0d darkness
Adenosine,235,-0.530136279,0d darkness
Allantoic acid,235,0.150904525,0d darkness
alpha-D-Galacturonic acid 1-phosphate,235,-1.11697041,0d darkness
alpha-Ketoglutaric acid,235,-0.966196818,0d darkness
Argininosuccinic acid,235,-0.23725024,0d darkness
Aspartic acid,235,-0.437533862,0d darkness
beta-Nicotinamide adenine dinucleotide,235,-0.751894122,0d darkness
Cellobiitol,235,-0.064798366,0d darkness
Citric acid,235,1.28463802,0d darkness
Flavin Mononucleotide,235,-0.159178678,0d darkness
Flavine adenine dinucleotide (FAD),235,-0.61084858,0d darkness
Formimino-L-Aspartic acid,235,0.48550365,0d darkness
Glucoalyssin,235,-5.808662335,0d darkness
Glucohirsutin,235,0.453832037,0d darkness
Glucoiberin,235,-1.450556498,0d darkness
Gluconic acid,235,-0.103900836,0d darkness
"Glutamic acid, N-acetyl-",235,-0.471158435,0d darkness
Glutathione,235,-1.226698645,0d darkness
Guanosine,235,-0.33016816,0d darkness
2-Isopropylmalic acid,235,-0.246465978,0d darkness
Histidine,235,-1.662821999,0d darkness
Iminodiacetic acid,235,0.133336385,0d darkness
Leucine,235,-0.638144893,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,235,-3.001333719,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,235,-3.644091691,0d darkness
Lactobionic acid,235,0.649045877,0d darkness
Lactulose,235,-0.325304123,0d darkness
Isoleucine,235,-0.878503041,0d darkness
Loganin,235,1.473913001,0d darkness
"3,4-Dihydroxybenzoic acid",235,-0.6792637,0d darkness
Malic acid,235,-0.564527155,0d darkness
Mimosine,235,-0.026646016,0d darkness
"N,N-Dimethylglycine",235,-0.727317126,0d darkness
N-Acetyl-L-Tyrosine,235,-2.6761677,0d darkness
Naringin,235,-0.894603965,0d darkness
N-Ethylmaleamic acid,235,0.512187069,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),235,-0.054182847,0d darkness
O-palmitoyl-L-Carnitine chloride,235,0.035157122,0d darkness
Pantothenic acid (Vitamine B5) ,235,0.188254736,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,235,-0.728130546,0d darkness
3-Hydroxyphenylacetic acid,235,1.674920819,0d darkness
porphobilinogen,235,0.322577133,0d darkness
Purine,235,-0.599865734,0d darkness
Pyroglutamic acid,235,-1.356539688,0d darkness
"Quercetin 3,7-dirhamnoside",235,-2.763527021,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,235,-4.708243488,0d darkness
Riboflavin ,235,-0.144519049,0d darkness
Rutin,235,-2.429728257,0d darkness
Saccharic acid,235,0.26740285,0d darkness
S-Adenosyl-L-Homocysteine,235,-0.7355741,0d darkness
Sedoheptulose,235,0.208534857,0d darkness
Serine,235,-0.98645992,0d darkness
Sinapoylglucose,235,-1.701611832,0d darkness
Succinoadenosine,235,0.237344341,0d darkness
"Trehalose, alpha,beta-",235,-0.129863184,0d darkness
Tyrosine,235,-0.459768542,0d darkness
Uric acid,235,-0.334209526,0d darkness
Uridine,235,-0.752913259,0d darkness
Uridine-5'-diphosphogalactose,235,-0.677103881,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,236,-0.113879194,0d darkness
Phe-Val,236,0.194345263,0d darkness
6-Hydroxymelatonin,236,-0.024946952,0d darkness
adenine,236,-0.30680577,0d darkness
Adenosine,236,-0.927318417,0d darkness
Allantoic acid,236,0.22868369,0d darkness
alpha-D-Galacturonic acid 1-phosphate,236,-1.023464534,0d darkness
alpha-Ketoglutaric acid,236,-0.817296407,0d darkness
Argininosuccinic acid,236,-0.643217458,0d darkness
Aspartic acid,236,-0.435819974,0d darkness
beta-Nicotinamide adenine dinucleotide,236,-0.740453914,0d darkness
Cellobiitol,236,0.010029812,0d darkness
Citric acid,236,1.36231915,0d darkness
Flavin Mononucleotide,236,-0.133786161,0d darkness
Flavine adenine dinucleotide (FAD),236,-0.507117266,0d darkness
Formimino-L-Aspartic acid,236,0.423255832,0d darkness
Glucoalyssin,236,-6.768509428,0d darkness
Glucohirsutin,236,-0.417226966,0d darkness
Glucoiberin,236,-1.453530664,0d darkness
Gluconic acid,236,0.055229008,0d darkness
"Glutamic acid, N-acetyl-",236,-0.702960514,0d darkness
Glutathione,236,-1.155145434,0d darkness
Guanosine,236,-0.542506098,0d darkness
2-Isopropylmalic acid,236,-0.231972841,0d darkness
Histidine,236,-1.816217167,0d darkness
Iminodiacetic acid,236,0.222502664,0d darkness
Leucine,236,-1.232919797,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,236,-2.747925664,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,236,-3.000853691,0d darkness
Lactobionic acid,236,0.446399063,0d darkness
Lactulose,236,-0.224065858,0d darkness
Isoleucine,236,-1.099579834,0d darkness
Loganin,236,0.291720482,0d darkness
"3,4-Dihydroxybenzoic acid",236,-0.802363156,0d darkness
Malic acid,236,-0.629681891,0d darkness
Mimosine,236,0.092590019,0d darkness
"N,N-Dimethylglycine",236,-0.588252047,0d darkness
N-Acetyl-L-Tyrosine,236,-2.018994382,0d darkness
Naringin,236,-0.775859247,0d darkness
N-Ethylmaleamic acid,236,0.899285144,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),236,-0.204793066,0d darkness
O-palmitoyl-L-Carnitine chloride,236,0.0368924,0d darkness
Pantothenic acid (Vitamine B5) ,236,0.14693681,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,236,-0.55375976,0d darkness
3-Hydroxyphenylacetic acid,236,0.85228529,0d darkness
porphobilinogen,236,-0.354785694,0d darkness
Purine,236,-0.746238858,0d darkness
Pyroglutamic acid,236,-1.241473215,0d darkness
"Quercetin 3,7-dirhamnoside",236,-2.326868149,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,236,-2.415206734,0d darkness
Riboflavin ,236,-0.35018666,0d darkness
Rutin,236,-2.51669774,0d darkness
Saccharic acid,236,0.456543394,0d darkness
S-Adenosyl-L-Homocysteine,236,-0.733174138,0d darkness
Sedoheptulose,236,0.199672636,0d darkness
Serine,236,-1.060822568,0d darkness
Sinapoylglucose,236,-1.211905978,0d darkness
Succinoadenosine,236,-0.200349531,0d darkness
"Trehalose, alpha,beta-",236,0.165462815,0d darkness
Tyrosine,236,-0.640226095,0d darkness
Uric acid,236,-0.935420561,0d darkness
Uridine,236,-1.004155171,0d darkness
Uridine-5'-diphosphogalactose,236,-0.584803047,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,237,-0.213696692,0d darkness
Phe-Val,237,0.376290232,0d darkness
6-Hydroxymelatonin,237,-0.036388417,0d darkness
adenine,237,-0.418240326,0d darkness
Adenosine,237,-1.06672231,0d darkness
Allantoic acid,237,-0.773257785,0d darkness
alpha-D-Galacturonic acid 1-phosphate,237,-1.180057989,0d darkness
alpha-Ketoglutaric acid,237,-0.686106386,0d darkness
Argininosuccinic acid,237,-0.863014255,0d darkness
Aspartic acid,237,-0.392444643,0d darkness
beta-Nicotinamide adenine dinucleotide,237,-0.637487613,0d darkness
Cellobiitol,237,-0.015140528,0d darkness
Citric acid,237,1.61486047,0d darkness
Flavin Mononucleotide,237,-0.142550701,0d darkness
Flavine adenine dinucleotide (FAD),237,-0.493085565,0d darkness
Formimino-L-Aspartic acid,237,0.361660921,0d darkness
Glucoalyssin,237,-4.090673867,0d darkness
Glucohirsutin,237,1.274975015,0d darkness
Glucoiberin,237,-1.481335001,0d darkness
Gluconic acid,237,-0.006020526,0d darkness
"Glutamic acid, N-acetyl-",237,-0.662925413,0d darkness
Glutathione,237,-1.222056191,0d darkness
Guanosine,237,-1.011964107,0d darkness
2-Isopropylmalic acid,237,-0.199559541,0d darkness
Histidine,237,-1.703699596,0d darkness
Iminodiacetic acid,237,-0.750149676,0d darkness
Leucine,237,-1.23293198,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,237,-2.852799577,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,237,-4.186460663,0d darkness
Lactobionic acid,237,0.017887088,0d darkness
Lactulose,237,-0.286898326,0d darkness
Isoleucine,237,-1.455735093,0d darkness
Loganin,237,1.191792145,0d darkness
"3,4-Dihydroxybenzoic acid",237,-0.854758527,0d darkness
Malic acid,237,-0.492292282,0d darkness
Mimosine,237,0.061177027,0d darkness
"N,N-Dimethylglycine",237,-0.540601899,0d darkness
N-Acetyl-L-Tyrosine,237,-1.645684158,0d darkness
Naringin,237,-1.629227284,0d darkness
N-Ethylmaleamic acid,237,-0.084541142,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),237,0.120565106,0d darkness
O-palmitoyl-L-Carnitine chloride,237,-0.020786264,0d darkness
Pantothenic acid (Vitamine B5) ,237,-0.144949707,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,237,-0.646517784,0d darkness
3-Hydroxyphenylacetic acid,237,0.246023014,0d darkness
porphobilinogen,237,-0.174010078,0d darkness
Purine,237,-0.611642895,0d darkness
Pyroglutamic acid,237,-1.247745972,0d darkness
"Quercetin 3,7-dirhamnoside",237,-2.965925181,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,237,-3.311461555,0d darkness
Riboflavin ,237,-0.277453848,0d darkness
Rutin,237,-2.494521148,0d darkness
Saccharic acid,237,0.260094674,0d darkness
S-Adenosyl-L-Homocysteine,237,-0.679477687,0d darkness
Sedoheptulose,237,0.229555798,0d darkness
Serine,237,-0.794522162,0d darkness
Sinapoylglucose,237,-2.230671775,0d darkness
Succinoadenosine,237,-0.156918533,0d darkness
"Trehalose, alpha,beta-",237,0.08192836,0d darkness
Tyrosine,237,-0.749794453,0d darkness
Uric acid,237,-1.985277859,0d darkness
Uridine,237,-0.883170612,0d darkness
Uridine-5'-diphosphogalactose,237,-0.565147903,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,238,-0.212451762,0d darkness
Phe-Val,238,-0.215051686,0d darkness
6-Hydroxymelatonin,238,-0.01935516,0d darkness
adenine,238,-0.028098956,0d darkness
Adenosine,238,-1.166468082,0d darkness
Allantoic acid,238,0.033163182,0d darkness
alpha-D-Galacturonic acid 1-phosphate,238,-0.796271168,0d darkness
alpha-Ketoglutaric acid,238,-0.939431107,0d darkness
Argininosuccinic acid,238,-0.714996682,0d darkness
Aspartic acid,238,-0.414593303,0d darkness
beta-Nicotinamide adenine dinucleotide,238,-0.725932827,0d darkness
Cellobiitol,238,0.005078298,0d darkness
Citric acid,238,1.560038578,0d darkness
Flavin Mononucleotide,238,-0.16420546,0d darkness
Flavine adenine dinucleotide (FAD),238,-0.591011289,0d darkness
Formimino-L-Aspartic acid,238,0.354603787,0d darkness
Glucoalyssin,238,-2.618344157,0d darkness
Glucohirsutin,238,0.407694323,0d darkness
Glucoiberin,238,-1.482365084,0d darkness
Gluconic acid,238,0.03215271,0d darkness
"Glutamic acid, N-acetyl-",238,-0.834565111,0d darkness
Glutathione,238,-1.42393792,0d darkness
Guanosine,238,-1.218982698,0d darkness
2-Isopropylmalic acid,238,-0.243121777,0d darkness
Histidine,238,-1.658258111,0d darkness
Iminodiacetic acid,238,0.06903396,0d darkness
Leucine,238,-1.111536609,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,238,-3.194883915,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,238,-3.692432274,0d darkness
Lactobionic acid,238,0.136211872,0d darkness
Lactulose,238,-0.148513953,0d darkness
Isoleucine,238,-1.238674497,0d darkness
Loganin,238,1.425855062,0d darkness
"3,4-Dihydroxybenzoic acid",238,-0.800209172,0d darkness
Malic acid,238,-0.524791982,0d darkness
Mimosine,238,0.055133376,0d darkness
"N,N-Dimethylglycine",238,-0.67588283,0d darkness
N-Acetyl-L-Tyrosine,238,-2.693928216,0d darkness
Naringin,238,-1.00936763,0d darkness
N-Ethylmaleamic acid,238,0.228945152,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),238,-0.040995417,0d darkness
O-palmitoyl-L-Carnitine chloride,238,0.008404447,0d darkness
Pantothenic acid (Vitamine B5) ,238,0.008215846,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,238,-0.478335167,0d darkness
3-Hydroxyphenylacetic acid,238,1.014468123,0d darkness
porphobilinogen,238,-0.235240343,0d darkness
Purine,238,-0.723228748,0d darkness
Pyroglutamic acid,238,-1.33555276,0d darkness
"Quercetin 3,7-dirhamnoside",238,-3.020514611,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,238,-3.070337736,0d darkness
Riboflavin ,238,-0.387601128,0d darkness
Rutin,238,-2.537846407,0d darkness
Saccharic acid,238,0.403213147,0d darkness
S-Adenosyl-L-Homocysteine,238,-0.923691554,0d darkness
Sedoheptulose,238,0.201517764,0d darkness
Serine,238,-0.969858725,0d darkness
Sinapoylglucose,238,-1.699206522,0d darkness
Succinoadenosine,238,-0.227718533,0d darkness
"Trehalose, alpha,beta-",238,0.20113976,0d darkness
Tyrosine,238,-0.571186022,0d darkness
Uric acid,238,-0.926443998,0d darkness
Uridine,238,-0.955536343,0d darkness
Uridine-5'-diphosphogalactose,238,-0.594939984,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,239,-0.273313512,0d darkness
Phe-Val,239,0.453061361,0d darkness
6-Hydroxymelatonin,239,-0.029973838,0d darkness
adenine,239,0.07806896,0d darkness
Adenosine,239,-0.491736009,0d darkness
Allantoic acid,239,-0.199410815,0d darkness
alpha-D-Galacturonic acid 1-phosphate,239,-1.521161992,0d darkness
alpha-Ketoglutaric acid,239,-0.868156571,0d darkness
Argininosuccinic acid,239,-0.257531766,0d darkness
Aspartic acid,239,-0.429898136,0d darkness
beta-Nicotinamide adenine dinucleotide,239,-0.527028026,0d darkness
Cellobiitol,239,0.025637675,0d darkness
Citric acid,239,1.466449496,0d darkness
Flavin Mononucleotide,239,-0.089740887,0d darkness
Flavine adenine dinucleotide (FAD),239,-0.397075517,0d darkness
Formimino-L-Aspartic acid,239,0.509737038,0d darkness
Glucoalyssin,239,-7.757084675,0d darkness
Glucohirsutin,239,0.663260302,0d darkness
Glucoiberin,239,-1.468825123,0d darkness
Gluconic acid,239,0.043200583,0d darkness
"Glutamic acid, N-acetyl-",239,-0.224463188,0d darkness
Glutathione,239,-0.957721002,0d darkness
Guanosine,239,-0.521972456,0d darkness
2-Isopropylmalic acid,239,-0.028409495,0d darkness
Histidine,239,-1.397068547,0d darkness
Iminodiacetic acid,239,-0.234510566,0d darkness
Leucine,239,-1.158354765,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,239,-3.581233673,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,239,-4.902957084,0d darkness
Lactobionic acid,239,0.337488454,0d darkness
Lactulose,239,-0.146362224,0d darkness
Isoleucine,239,-0.965530929,0d darkness
Loganin,239,1.749582353,0d darkness
"3,4-Dihydroxybenzoic acid",239,-0.835346718,0d darkness
Malic acid,239,-0.619163712,0d darkness
Mimosine,239,0.066067255,0d darkness
"N,N-Dimethylglycine",239,-0.484718418,0d darkness
N-Acetyl-L-Tyrosine,239,-2.450114964,0d darkness
Naringin,239,-1.597534449,0d darkness
N-Ethylmaleamic acid,239,0.075259936,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),239,0.05295612,0d darkness
O-palmitoyl-L-Carnitine chloride,239,0.022117875,0d darkness
Pantothenic acid (Vitamine B5) ,239,0.087504276,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,239,-0.82244641,0d darkness
3-Hydroxyphenylacetic acid,239,0.63024168,0d darkness
porphobilinogen,239,-0.01479803,0d darkness
Purine,239,-0.641914043,0d darkness
Pyroglutamic acid,239,-1.158498256,0d darkness
"Quercetin 3,7-dirhamnoside",239,-3.14782658,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,239,-5.042167077,0d darkness
Riboflavin ,239,-0.089413484,0d darkness
Rutin,239,-2.545427451,0d darkness
Saccharic acid,239,0.257711305,0d darkness
S-Adenosyl-L-Homocysteine,239,-0.656263031,0d darkness
Sedoheptulose,239,0.244591303,0d darkness
Serine,239,-0.845183468,0d darkness
Sinapoylglucose,239,-2.190722426,0d darkness
Succinoadenosine,239,0.181235262,0d darkness
"Trehalose, alpha,beta-",239,0.223094993,0d darkness
Tyrosine,239,-0.495271937,0d darkness
Uric acid,239,-1.204410724,0d darkness
Uridine,239,-0.771737687,0d darkness
Uridine-5'-diphosphogalactose,239,-0.596491196,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,240,-0.36373361,0d darkness
Phe-Val,240,0.748753619,0d darkness
6-Hydroxymelatonin,240,-0.029430142,0d darkness
adenine,240,-0.211577849,0d darkness
Adenosine,240,-0.661153578,0d darkness
Allantoic acid,240,0.028907424,0d darkness
alpha-D-Galacturonic acid 1-phosphate,240,-1.427113983,0d darkness
alpha-Ketoglutaric acid,240,-0.741351775,0d darkness
Argininosuccinic acid,240,-0.80430056,0d darkness
Aspartic acid,240,-0.562787671,0d darkness
beta-Nicotinamide adenine dinucleotide,240,-0.661928959,0d darkness
Cellobiitol,240,0.022248911,0d darkness
Citric acid,240,1.147180877,0d darkness
Flavin Mononucleotide,240,-0.215254564,0d darkness
Flavine adenine dinucleotide (FAD),240,-0.529924676,0d darkness
Formimino-L-Aspartic acid,240,0.198927013,0d darkness
Glucoalyssin,240,-7.472844618,0d darkness
Glucohirsutin,240,-0.49208755,0d darkness
Glucoiberin,240,-1.467069605,0d darkness
Gluconic acid,240,-0.025390226,0d darkness
"Glutamic acid, N-acetyl-",240,-0.698145101,0d darkness
Glutathione,240,-1.268037897,0d darkness
Guanosine,240,-0.355839223,0d darkness
2-Isopropylmalic acid,240,-0.332644843,0d darkness
Histidine,240,-1.878986863,0d darkness
Iminodiacetic acid,240,0.028802844,0d darkness
Leucine,240,-1.059219155,0d darkness
