,country,id,pid,pidc,time,ecotype,Mincirclediam,Normsmallpax,Normlargepax,Minrectarea,Mindistcenbdy,vrectsizey,vrectsizex,Compactness,Normrotmo,Area,Paxratio,Circumference,Excentricity,Maxdiam,Roundness,Bdryround,Bdrycount,Bdrytoarearatio,Conhullcirc,Conhullarea
1_magic_e16_w5arab_magic_w5,Germany,181,outside,noncorner,32,No-0,34.144,0.10108,0.10955,898.93,1.3181,29.724,30.625,0.74674,0.21063,512.98,1.0837,191.72,0.0016148,32.373,71.657,122.23,250.4,0.48814,97.676,686.96
1_magic_e17_w1arab_magic_w1,Ireland,193,outside,corner,17,Bur-0,15.937,0.093709,0.18284,153.83,0.053302,12.05,13.093,0.66722,0.27655,80.376,1.9512,73.83,0.10388,15.473,67.817,101.62,90.376,1.1244,41.592,120.46
1_magic_e17_w2arab_magic_w2,Ireland,193,outside,corner,22,Bur-0,27.753,0.10442,0.14859,460.85,0.57877,22.315,20.967,0.65859,0.25301,257.32,1.423,147.92,0.030481,26.945,85.029,156.99,200.99,0.78109,74.262,390.71
1_magic_e17_w3arab_magic_w3,Ireland,193,outside,corner,25,Bur-0,38.713,0.11984,0.15369,906.11,1.5303,34.068,26.91,0.63436,0.27353,455.12,1.2824,227.18,0.015311,36.461,113.4,211.78,310.46,0.68216,102.68,717.44
1_magic_e17_w4arab_magic_w4,Ireland,193,outside,corner,28,Bur-0,48.257,0.12239,0.14632,1773.6,1.4994,41.855,45.053,0.59977,0.26871,782.52,1.1955,368.48,0.0079308,44.976,173.51,288.67,475.28,0.60737,135.17,1304.7
1_magic_e17_w5arab_magic_w5,Ireland,193,outside,corner,32,Bur-0,63.582,0.12039,0.12478,3101.9,1.0511,58.158,57.408,0.61679,0.24517,1484.9,1.0364,502.75,0.00032014,60.771,170.22,324.93,694.6,0.46779,180.66,2407.4
1_magic_e18_w1arab_magic_w1,Germany,205,outside,noncorner,17,Ler-0,10.715,0.08492,0.10586,76.166,0.61517,10.428,10.08,0.84063,0.19078,57.218,1.2466,39.364,0.01205,10.521,27.081,63.444,60.251,1.053,30.469,68.066
1_magic_e18_w2arab_magic_w2,Germany,205,outside,noncorner,22,Ler-0,21.469,0.058388,0.18038,258.49,0.70301,20.219,14.827,0.81398,0.23877,156.45,3.0894,85.725,0.26105,20.86,46.972,105.05,128.2,0.81943,53.935,192.2
1_magic_e18_w3arab_magic_w3,Germany,205,outside,noncorner,25,Ler-0,25.578,0.084937,0.13628,440.57,2.0115,23.198,23.198,0.75588,0.22122,266.61,1.6045,131.09,0.053871,24.256,64.451,106.31,168.35,0.63145,69.82,352.72
1_magic_e18_w4arab_magic_w4,Germany,205,outside,noncorner,28,Ler-0,35.003,0.064493,0.23475,646.17,0.88943,20.58,31.843,0.70377,0.29924,332.9,3.6399,156.73,0.32371,34.714,73.791,109.33,190.78,0.57309,87.321,473.02
1_magic_e18_w5arab_magic_w5,Germany,205,outside,noncorner,32,Ler-0,42.546,0.12262,0.12894,1279.5,2.3091,39.421,38.372,0.68621,0.25156,664.18,1.0515,204.53,0.00062986,39.999,62.982,116.53,278.2,0.41886,118.55,967.9
1_magic_e19_w1arab_magic_w1,Libya,217,outside,noncorner,17,Mt-0,13.844,0.072777,0.21738,104.29,0.92714,9.7387,11.478,0.66853,0.29016,53.027,2.9869,56.126,0.24836,13.478,59.406,85.272,67.244,1.2681,34.345,79.318
1_magic_e19_w2arab_magic_w2,Libya,217,outside,noncorner,22,Mt-0,21.643,0.11738,0.17171,287.83,0.77374,14.593,20.16,0.6291,0.28909,137.59,1.4628,97.451,0.035311,20.208,69.02,135.03,136.31,0.99063,57.686,218.72
